Name,Latitude,Longitude,Country,Division,District
Debhata,22.5809462,88.9892448,Bangladesh,Khulna Division,Satkhira District
Kalaroa,22.8583135,89.0394363,Bangladesh,Khulna Division,Satkhira District
Satkhira-S,22.7184973,89.0704787,Bangladesh,Khulna Division,Satkhira District
Shyamnagar,22.35680885,89.55268997,Bangladesh,Khulna Division,Satkhira District
Tala,22.75706733,89.30819475,Bangladesh,Khulna Division,Satkhira District
Austagram,24.2795348,91.1185143,Bangladesh,Mymensingh Division,Kishoreganj District
Bajitpur,24.2137992,90.9522044,Bangladesh,Mymensingh Division,Kishoreganj District
Bhairab,24.0555274,90.9802452,Bangladesh,Mymensingh Division,Kishoreganj District
Hossainpur,24.4174091,90.6547768,Bangladesh,Mymensingh Division,Kishoreganj District
Itna,24.5277311,91.0957418,Bangladesh,Mymensingh Division,Kishoreganj District
Karimganj,24.47411752,90.86555119,Bangladesh,Mymensingh Division,Kishoreganj District
Katiadi,24.2459071,90.7937015,Bangladesh,Mymensingh Division,Kishoreganj District
Kishoreganj-S,24.4331227,90.7865655,Bangladesh,Mymensingh Division,Kishoreganj District
Kuliarchar,24.1367698,90.9116263,Bangladesh,Mymensingh Division,Kishoreganj District
Mithamoin,24.4195583,91.0634024,Bangladesh,Mymensingh Division,Kishoreganj District
Nikli,24.3242946,90.9336121,Bangladesh,Mymensingh Division,Kishoreganj District
Pakundia,24.3296584,90.6796767,Bangladesh,Mymensingh Division,Kishoreganj District
Tarail,24.5491179,90.8907562,Bangladesh,Mymensingh Division,Kishoreganj District
Basail,24.2330971,90.0513246,Bangladesh,Mymensingh Division,Tangail District
Bhuapur,24.4662909,89.87039,Bangladesh,Mymensingh Division,Tangail District
Delduar,24.1647404,89.9650975,Bangladesh,Mymensingh Division,Tangail District
Dhanbari,24.6845976,89.9486754,Bangladesh,Mymensingh Division,Tangail District
Ghatail,24.4811953,89.9731798,Bangladesh,Mymensingh Division,Tangail District
Gopalpur,24.56293569,89.84182889,Bangladesh,Mymensingh Division,Tangail District
Kalihati,24.3905945,89.9930052,Bangladesh,Mymensingh Division,Tangail District
Madhupur,24.60738843,90.01041662,Bangladesh,Mymensingh Division,Tangail District
Mirzapur,24.114888,90.16553405,Bangladesh,Mymensingh Division,Tangail District
Nagarpur,24.0576707,89.8762377,Bangladesh,Mymensingh Division,Tangail District
Shakhipur,24.3191857,90.1752525,Bangladesh,Mymensingh Division,Tangail District
Tangail-S,24.2513451,89.9167104,Bangladesh,Mymensingh Division,Tangail District
Bakshiganj,25.184411,89.8680506,Bangladesh,Mymensingh Division,Jamalpur District
Dewanganj,25.1529991,89.758231,Bangladesh,Mymensingh Division,Jamalpur District
Islampur,25.11077148,89.40785724,Bangladesh,Mymensingh Division,Jamalpur District
Jamalpur-S,24.9249785,89.9463408,Bangladesh,Mymensingh Division,Jamalpur District
Madarganj,24.9068332,89.7166965,Bangladesh,Mymensingh Division,Jamalpur District
Melandaha,24.9391064,24.9391064,Bangladesh,Mymensingh Division,Jamalpur District
Sarishabari,24.7669433,89.8409152,Bangladesh,Mymensingh Division,Jamalpur District
Bhaluka,24.407929,90.3866074,Bangladesh,Mymensingh Division,Mymensingh District
Dhobaura,25.0901617,90.5234193,Bangladesh,Mymensingh Division,Mymensingh District
Fulbaria,24.6249931,90.266699,Bangladesh,Mymensingh Division,Mymensingh District
Gaffargaon,24.4173244,90.5492309,Bangladesh,Mymensingh Division,Mymensingh District
Gouripur,24.7547756,90.5683399,Bangladesh,Mymensingh Division,Mymensingh District
Haluaghat,25.1218233,90.3407167,Bangladesh,Mymensingh Division,Mymensingh District
Ishwarganj,24.6923421,90.5943697,Bangladesh,Mymensingh Division,Mymensingh District
Muktagacha,24.7660178,90.2561365,Bangladesh,Mymensingh Division,Mymensingh District
Mymensingh-S,24.7851062,90.3560076,Bangladesh,Mymensingh Division,Mymensingh District
Nandail,24.5687223,90.6903529,Bangladesh,Mymensingh Division,Mymensingh District
Phulpur,24.96208419,90.4480902,Bangladesh,Mymensingh Division,Mymensingh District
Tarakanda,24.8559556,90.4879916,Bangladesh,Mymensingh Division,Mymensingh District
Trishal,24.5816585,90.3948498,Bangladesh,Mymensingh Division,Mymensingh District
Atpara,24.8097761,90.8603645,Bangladesh,Mymensingh Division,Netrokona District
Barhatta,24.8986484,90.8841992,Bangladesh,Mymensingh Division,Netrokona District
Durgapur,25.11381238,90.67570211,Bangladesh,Mymensingh Division,Netrokona District
Kalmakanda,25.0765713,90.8889678,Bangladesh,Mymensingh Division,Netrokona District
Kendua,24.6703752,90.8436885,Bangladesh,Mymensingh Division,Netrokona District
Khaliajuri,24.689261,91.1329034,Bangladesh,Mymensingh Division,Netrokona District
Madan,24.71362497,90.94887818,Bangladesh,Mymensingh Division,Netrokona District
Mohanganj,24.8743218,90.979677,Bangladesh,Mymensingh Division,Netrokona District
Netrakona-S,24.8816911,90.7271479,Bangladesh,Mymensingh Division,Netrokona District
Purbadhala,24.9430683,90.6002879,Bangladesh,Mymensingh Division,Netrokona District
Jhenaigati,25.1859383,90.0629989,Bangladesh,Mymensingh Division,Sherpur District
Nakla,24.9678951,90.1787657,Bangladesh,Mymensingh Division,Sherpur District
