Optimal Objective Value (Upper Bound),5782607949.337923
Execution Time (Seconds),9.042133

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
43,Dakshin Surma,183,Zakiganj,5615.000000
43,Dakshin Surma,185,Golapganj,5964.000000
43,Dakshin Surma,202,Jagannathpur,4717.000000
43,Dakshin Surma,217,Fenchuganj,4631.000000
43,Dakshin Surma,282,Kulaura,7556.000000
43,Dakshin Surma,292,Osmaninagar,5016.000000
43,Dakshin Surma,317,Balaganj,6200.000000
43,Dakshin Surma,324,Doarabazar,5100.000000
43,Dakshin Surma,355,Companiganj,7808.000000
43,Dakshin Surma,362,Gowainghat,6785.000000
43,Dakshin Surma,393,Chhatak,5437.000000
43,Dakshin Surma,415,Nabiganj,7570.000000
47,Shariatpur-S,2,Raipur,8158.000000
47,Shariatpur-S,4,Zajira,8674.000000
47,Shariatpur-S,7,Madaripur-S,5035.000000
47,Shariatpur-S,18,Faridganj,6800.000000
47,Shariatpur-S,62,Naria,4982.000000
47,Shariatpur-S,113,Ramganj,3836.293163
47,Shariatpur-S,138,Rajoir,5801.000000
47,Shariatpur-S,156,Goshairhat,6206.000000
47,Shariatpur-S,210,Damuddya,7023.000000
47,Shariatpur-S,251,Haimchar,8954.000000
47,Shariatpur-S,273,Shibchar,6236.000000
47,Shariatpur-S,318,Kalkini,7982.000000
47,Shariatpur-S,394,Chandpur-S,6636.000000
47,Shariatpur-S,402,Dashar,7818.000000
47,Shariatpur-S,445,Bhedarganj,5902.000000
48,Charbhadrasan,107,Bhanga,8749.000000
48,Charbhadrasan,264,Faridpur-S,5729.000000
48,Charbhadrasan,271,Saltha,7730.000000
48,Charbhadrasan,274,Sadarpur,7463.000000
48,Charbhadrasan,279,Nagarkanda,2215.825102
48,Charbhadrasan,281,Baliakandi,5699.000000
48,Charbhadrasan,303,Goalanda,4474.000000
48,Charbhadrasan,314,Rajbari-S,4718.640612
48,Charbhadrasan,347,Boalmari,6272.000000
48,Charbhadrasan,370,Dohar,6882.000000
48,Charbhadrasan,422,Madhukhali,7571.000000
48,Charbhadrasan,423,Muksudpur,6865.000000
