Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number
Ramganj,"3 found, use single geocode.","Ramganj, Bangladesh",23.1001185,90.8627473,"locality, political",APPROXIMATE,,,,Ramganj,Bangladesh,Chittagong Division,Lakshmipur District,Lakshmipur District
Ramgati,"2 found, use single geocode.","Ramgati Upazila, Bangladesh",22.7451822,90.9318234,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Lakshmipur District,Lakshmipur District
Begumganj,"2 found, use single geocode.","Begumganj, Bangladesh",22.9319328,91.0921473,"locality, political",APPROXIMATE,,,,Begumganj,Bangladesh,Chittagong Division,Noakhali District,Noakhali District
Chatkhil,"2 found, use single geocode.","Chatkhil, Bangladesh",23.0518075,90.9772874,"locality, political",APPROXIMATE,,,,Chatkhil,Bangladesh,Chittagong Division,Noakhali District,Noakhali District
Companiganj,"2 found, use single geocode.","Companiganj Upazila, Bangladesh",22.8736722,91.2779445,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Noakhali District,Noakhali District
Hatiya,"2 found, use single geocode.","Hatiya, Bangladesh",22.2880698,91.1400998,"locality, political",APPROXIMATE,,,,Hatiya,Bangladesh,Chittagong Division,Noakhali District,Noakhali District
Kabir Hat,Ok,"Kabirhat, Bangladesh",22.7956429,91.1989169,"locality, political",APPROXIMATE,,,,Kabirhat,Bangladesh,Chittagong Division,Noakhali District,Noakhali District
Noakhali-S,"2 found, use single geocode.","Noakhali, Bangladesh",22.8246384,91.1017334,"locality, political",APPROXIMATE,,,,Noakhali,Bangladesh,Chittagong Division,Noakhali District,Noakhali District
Senbag,"2 found, use single geocode.","Senbag, Bangladesh",22.9874868,91.2337661,"locality, political",APPROXIMATE,,,,Senbag,Bangladesh,Chittagong Division,Noakhali District,Noakhali District
Sonaimuri,Ok,"Sonaimuri, Bangladesh",23.0509273,91.1113216,"locality, political",APPROXIMATE,,,,Sonaimuri,Bangladesh,Chittagong Division,Noakhali District,Noakhali District
Subarna Char,Ok,"Subarnachar Upazila, Bangladesh",22.6755632,91.1256666,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Noakhali District,Noakhali District
Baghaichari,Ok,"Baghaichhari Upazila, Bangladesh",23.1649165,92.1913643,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Rangamati Hill District,Rangamati Hill District
Barkal,"2 found, use single geocode.","Barkal Upazila,Bangladesh",22.7261595,92.37928328,"locality, political",APPROXIMATE,,,,Barkal,Bangladesh,Chittagong Division,Rangamati Hill District,Rangamati Hill District
Belaichari,"2 found, use single geocode.","Belaichari, Bangladesh",22.5117427,92.3436747,"locality, political",APPROXIMATE,,,,Belaichari,Bangladesh,Chittagong Division,Rangamati Hill District,Rangamati Hill District
Juraichari,Ok,"Juraichhari, Bangladesh",22.6708223,92.3788939,"locality, political",APPROXIMATE,,,,Juraichhari,Bangladesh,Chittagong Division,Rangamati Hill District,Rangamati Hill District
Kaptai,Ok,"Kaptai, Bangladesh",22.4943822,92.2212071,"locality, political",APPROXIMATE,,,,Kaptai,Bangladesh,Chittagong Division,Rangamati Hill District,Rangamati Hill District
Kaukhali,"2 found, use single geocode.","Kaukhali, Kawkhali, Bangladesh",22.6258092,90.0700051,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Kawkhali,Bangladesh,Barisal Division,Pirojpur District,Pirojpur District
Langadu,"3 found, use single geocode.","Langadu, Bangladesh",22.89933,92.153458,"locality, political",APPROXIMATE,,,,Langadu,Bangladesh,Chittagong Division,Rangamati Hill District,Rangamati Hill District
Nanniarchar,"Ok, partial match","Naniarchar, Bangladesh",22.862167,92.1106617,"locality, political",APPROXIMATE,,,,Naniarchar,Bangladesh,Chittagong Division,Rangamati Hill District,Rangamati Hill District
